Vin_V,Vout_V
-1e-05,-0.199902393
-9.9e-06,-0.197903369
-9.8e-06,-0.195904345
-9.7e-06,-0.193905321
-9.6e-06,-0.191906297
-9.5e-06,-0.189907273
-9.4e-06,-0.187908249
-9.3e-06,-0.185909225
-9.2e-06,-0.183910202
-9.1e-06,-0.181911178
-9e-06,-0.179912154
-8.9e-06,-0.17791313
-8.8e-06,-0.175914106
-8.7e-06,-0.173915082
-8.6e-06,-0.171916058
-8.5e-06,-0.169917034
-8.4e-06,-0.16791801
-8.3e-06,-0.165918986
-8.2e-06,-0.163919962
-8.1e-06,-0.161920938
-8e-06,-0.159921914
-7.9e-06,-0.15792289
-7.8e-06,-0.155923867
-7.7e-06,-0.153924843
-7.6e-06,-0.151925819
-7.5e-06,-0.149926795
-7.4e-06,-0.147927771
-7.3e-06,-0.145928747
-7.2e-06,-0.143929723
-7.1e-06,-0.141930699
-7e-06,-0.139931675
-6.9e-06,-0.137932651
-6.8e-06,-0.135933627
-6.7e-06,-0.133934603
-6.6e-06,-0.131935579
-6.5e-06,-0.129936555
-6.4e-06,-0.127937532
-6.3e-06,-0.125938508
-6.2e-06,-0.123939484
-6.1e-06,-0.12194046
-6e-06,-0.119941436
-5.9e-06,-0.117942412
-5.8e-06,-0.115943388
-5.7e-06,-0.113944364
-5.6e-06,-0.11194534
-5.5e-06,-0.109946316
-5.4e-06,-0.107947292
-5.3e-06,-0.105948268
-5.2e-06,-0.103949244
-5.1e-06,-0.10195022
-5e-06,-0.0999511965
-4.9e-06,-0.0979521726
-4.8e-06,-0.0959531486
-4.7e-06,-0.0939541247
-4.6e-06,-0.0919551008
-4.5e-06,-0.0899560769
-4.4e-06,-0.0879570529
-4.3e-06,-0.085958029
-4.2e-06,-0.0839590051
-4.1e-06,-0.0819599811
-4e-06,-0.0799609572
-3.9e-06,-0.0779619333
-3.8e-06,-0.0759629093
-3.7e-06,-0.0739638854
-3.6e-06,-0.0719648615
-3.5e-06,-0.0699658375
-3.4e-06,-0.0679668136
-3.3e-06,-0.0659677897
-3.2e-06,-0.0639687658
-3.1e-06,-0.0619697418
-3e-06,-0.0599707179
-2.9e-06,-0.057971694
-2.8e-06,-0.05597267
-2.7e-06,-0.0539736461
-2.6e-06,-0.0519746222
-2.5e-06,-0.0499755982
-2.4e-06,-0.0479765743
-2.3e-06,-0.0459775504
-2.2e-06,-0.0439785265
-2.1e-06,-0.0419795025
-2e-06,-0.0399804786
-1.9e-06,-0.0379814547
-1.8e-06,-0.0359824307
-1.7e-06,-0.0339834068
-1.6e-06,-0.0319843829
-1.5e-06,-0.0299853589
-1.4e-06,-0.027986335
-1.3e-06,-0.0259873111
-1.2e-06,-0.0239882872
-1.1e-06,-0.0219892632
-1e-06,-0.0199902393
-9e-07,-0.0179912154
-8e-07,-0.0159921914
-7e-07,-0.0139931675
-6e-07,-0.0119941436
-5e-07,-0.00999511965
-4e-07,-0.00799609572
-3e-07,-0.00599707179
-2e-07,-0.00399804786
-1e-07,-0.00199902393
1.03761536e-20,-4.51061627e-12
1e-07,0.00199902393
2e-07,0.00399804785
3e-07,0.00599707179
4e-07,0.00799609572
5e-07,0.00999511965
6e-07,0.0119941436
7e-07,0.0139931675
8e-07,0.0159921914
9e-07,0.0179912154
1e-06,0.0199902393
1.1e-06,0.0219892632
1.2e-06,0.0239882871
1.3e-06,0.0259873111
1.4e-06,0.027986335
1.5e-06,0.0299853589
1.6e-06,0.0319843829
1.7e-06,0.0339834068
1.8e-06,0.0359824307
1.9e-06,0.0379814547
2e-06,0.0399804786
2.1e-06,0.0419795025
2.2e-06,0.0439785265
2.3e-06,0.0459775504
2.4e-06,0.0479765743
2.5e-06,0.0499755982
2.6e-06,0.0519746222
2.7e-06,0.0539736461
2.8e-06,0.05597267
2.9e-06,0.0579716939
3e-06,0.0599707179
3.1e-06,0.0619697418
3.2e-06,0.0639687658
3.3e-06,0.0659677897
3.4e-06,0.0679668136
3.5e-06,0.0699658375
3.6e-06,0.0719648615
3.7e-06,0.0739638854
3.8e-06,0.0759629093
3.9e-06,0.0779619333
4e-06,0.0799609572
4.1e-06,0.0819599811
4.2e-06,0.0839590051
4.3e-06,0.085958029
4.4e-06,0.0879570529
4.5e-06,0.0899560768
4.6e-06,0.0919551008
4.7e-06,0.0939541247
4.8e-06,0.0959531486
4.9e-06,0.0979521726
5e-06,0.0999511965
5.1e-06,0.10195022
5.2e-06,0.103949244
5.3e-06,0.105948268
5.4e-06,0.107947292
5.5e-06,0.109946316
5.6e-06,0.11194534
5.7e-06,0.113944364
5.8e-06,0.115943388
5.9e-06,0.117942412
6e-06,0.119941436
6.1e-06,0.12194046
6.2e-06,0.123939484
6.3e-06,0.125938508
6.4e-06,0.127937532
6.5e-06,0.129936555
6.6e-06,0.131935579
6.7e-06,0.133934603
6.8e-06,0.135933627
6.9e-06,0.137932651
7e-06,0.139931675
7.1e-06,0.141930699
7.2e-06,0.143929723
7.3e-06,0.145928747
7.4e-06,0.147927771
7.5e-06,0.149926795
7.6e-06,0.151925819
7.7e-06,0.153924843
7.8e-06,0.155923867
7.9e-06,0.15792289
8e-06,0.159921914
8.1e-06,0.161920938
8.2e-06,0.163919962
8.3e-06,0.165918986
8.4e-06,0.16791801
8.5e-06,0.169917034
8.6e-06,0.171916058
8.7e-06,0.173915082
8.8e-06,0.175914106
8.9e-06,0.17791313
9e-06,0.179912154
9.1e-06,0.181911178
9.2e-06,0.183910202
9.3e-06,0.185909225
9.4e-06,0.187908249
9.5e-06,0.189907273
9.6e-06,0.191906297
9.7e-06,0.193905321
9.8e-06,0.195904345
9.9e-06,0.197903369
1e-05,0.199902393
