Frequency_Hz,Zout_Ohm
1.0,1.71367379e-05
1.02329299,1.71367379e-05
1.04712855,1.71367379e-05
1.07151931,1.71367379e-05
1.0964782,1.71367379e-05
1.12201845,1.71367379e-05
1.14815362,1.71367379e-05
1.17489755,1.71367379e-05
1.20226443,1.71367379e-05
1.23026877,1.71367379e-05
1.25892541,1.71367379e-05
1.28824955,1.71367379e-05
1.31825674,1.71367379e-05
1.34896288,1.71367379e-05
1.38038426,1.71367379e-05
1.41253754,1.71367379e-05
1.44543977,1.71367379e-05
1.47910839,1.71367379e-05
1.51356125,1.71367379e-05
1.54881662,1.71367379e-05
1.58489319,1.71367379e-05
1.6218101,1.71367379e-05
1.65958691,1.71367379e-05
1.69824365,1.71367379e-05
1.73780083,1.71367379e-05
1.77827941,1.71367379e-05
1.81970086,1.71367379e-05
1.86208714,1.71367379e-05
1.90546072,1.71367379e-05
1.9498446,1.71367379e-05
1.99526231,1.71367379e-05
2.04173794,1.71367379e-05
2.08929613,1.71367379e-05
2.13796209,1.71367379e-05
2.18776162,1.71367379e-05
2.23872114,1.71367379e-05
2.29086765,1.71367379e-05
2.34422882,1.71367379e-05
2.39883292,1.71367379e-05
2.45470892,1.71367379e-05
2.51188643,1.71367379e-05
2.57039578,1.71367379e-05
2.63026799,1.71367379e-05
2.6915348,1.71367379e-05
2.7542287,1.71367379e-05
2.81838293,1.71367379e-05
2.8840315,1.71367379e-05
2.95120923,1.71367379e-05
3.01995172,1.71367379e-05
3.09029543,1.71367379e-05
3.16227766,1.71367379e-05
3.23593657,1.71367379e-05
3.31131121,1.71367379e-05
3.38844156,1.71367379e-05
3.4673685,1.71367379e-05
3.54813389,1.71367379e-05
3.63078055,1.71367379e-05
3.71535229,1.71367379e-05
3.80189396,1.71367379e-05
3.89045145,1.71367379e-05
3.98107171,1.71367379e-05
4.07380278,1.71367379e-05
4.16869383,1.71367379e-05
4.26579519,1.71367379e-05
4.36515832,1.71367379e-05
4.46683592,1.71367379e-05
4.5708819,1.71367379e-05
4.67735141,1.71367379e-05
4.78630092,1.71367379e-05
4.89778819,1.71367379e-05
5.01187234,1.71367379e-05
5.12861384,1.71367379e-05
5.2480746,1.71367379e-05
5.37031796,1.71367379e-05
5.49540874,1.71367379e-05
5.62341325,1.71367379e-05
5.75439937,1.71367379e-05
5.88843655,1.71367379e-05
6.02559586,1.71367379e-05
6.16595002,1.71367379e-05
6.30957344,1.71367379e-05
6.45654229,1.71367379e-05
6.60693448,1.71367379e-05
6.76082975,1.71367379e-05
6.91830971,1.71367379e-05
7.07945784,1.71367379e-05
7.2443596,1.71367379e-05
7.41310241,1.71367379e-05
7.58577575,1.71367379e-05
7.76247117,1.71367379e-05
7.94328235,1.71367379e-05
8.12830516,1.71367379e-05
8.31763771,1.71367379e-05
8.51138038,1.71367379e-05
8.7096359,1.71367379e-05
8.91250938,1.71367378e-05
9.12010839,1.71367378e-05
9.33254301,1.71367378e-05
9.54992586,1.71367378e-05
9.77237221,1.71367378e-05
10.0,1.71367378e-05
10.2329299,1.71367378e-05
10.4712855,1.71367378e-05
10.7151931,1.71367378e-05
10.964782,1.71367378e-05
11.2201845,1.71367378e-05
11.4815362,1.71367378e-05
11.7489755,1.71367378e-05
12.0226443,1.71367378e-05
12.3026877,1.71367378e-05
12.5892541,1.71367378e-05
12.8824955,1.71367378e-05
13.1825674,1.71367377e-05
13.4896288,1.71367377e-05
13.8038426,1.71367377e-05
14.1253754,1.71367377e-05
14.4543977,1.71367377e-05
14.7910839,1.71367377e-05
15.1356125,1.71367377e-05
15.4881662,1.71367377e-05
15.8489319,1.71367377e-05
16.218101,1.71367376e-05
16.5958691,1.71367376e-05
16.9824365,1.71367376e-05
17.3780083,1.71367376e-05
17.7827941,1.71367376e-05
18.1970086,1.71367376e-05
18.6208714,1.71367376e-05
19.0546072,1.71367375e-05
19.498446,1.71367375e-05
19.9526231,1.71367375e-05
20.4173794,1.71367375e-05
20.8929613,1.71367375e-05
21.3796209,1.71367374e-05
21.8776162,1.71367374e-05
22.3872114,1.71367374e-05
22.9086765,1.71367373e-05
23.4422882,1.71367373e-05
23.9883292,1.71367373e-05
24.5470892,1.71367373e-05
25.1188643,1.71367372e-05
25.7039578,1.71367372e-05
26.3026799,1.71367372e-05
26.915348,1.71367371e-05
27.542287,1.71367371e-05
28.1838293,1.71367371e-05
28.840315,1.7136737e-05
29.5120923,1.7136737e-05
30.1995172,1.71367369e-05
30.9029543,1.71367369e-05
31.6227766,1.71367368e-05
32.3593657,1.71367368e-05
33.1131121,1.71367367e-05
33.8844156,1.71367367e-05
34.673685,1.71367366e-05
35.4813389,1.71367365e-05
36.3078055,1.71367365e-05
37.1535229,1.71367364e-05
38.0189396,1.71367363e-05
38.9045145,1.71367363e-05
39.8107171,1.71367362e-05
40.7380278,1.71367361e-05
41.6869383,1.7136736e-05
42.6579519,1.71367359e-05
43.6515832,1.71367358e-05
44.6683592,1.71367357e-05
45.708819,1.71367356e-05
46.7735141,1.71367355e-05
47.8630092,1.71367354e-05
48.9778819,1.71367353e-05
50.1187234,1.71367351e-05
51.2861384,1.7136735e-05
52.480746,1.71367349e-05
53.7031796,1.71367347e-05
54.9540874,1.71367346e-05
56.2341325,1.71367344e-05
57.5439937,1.71367343e-05
58.8843655,1.71367341e-05
60.2559586,1.71367339e-05
61.6595002,1.71367337e-05
63.0957344,1.71367335e-05
64.5654229,1.71367333e-05
66.0693448,1.71367331e-05
67.6082975,1.71367329e-05
69.1830971,1.71367326e-05
70.7945784,1.71367324e-05
72.443596,1.71367321e-05
74.1310241,1.71367318e-05
75.8577575,1.71367315e-05
77.6247117,1.71367312e-05
79.4328235,1.71367309e-05
81.2830516,1.71367306e-05
83.1763771,1.71367303e-05
85.1138038,1.71367299e-05
87.096359,1.71367295e-05
89.1250938,1.71367291e-05
91.2010839,1.71367287e-05
93.3254301,1.71367283e-05
95.4992586,1.71367278e-05
97.7237221,1.71367273e-05
100.0,1.71367268e-05
102.329299,1.71367263e-05
104.712855,1.71367258e-05
107.151931,1.71367252e-05
109.64782,1.71367246e-05
112.201845,1.71367239e-05
114.815362,1.71367233e-05
117.489755,1.71367226e-05
120.226443,1.71367219e-05
123.026877,1.71367211e-05
125.892541,1.71367203e-05
128.824955,1.71367195e-05
131.825674,1.71367186e-05
134.896288,1.71367177e-05
138.038426,1.71367168e-05
141.253754,1.71367158e-05
144.543977,1.71367147e-05
147.910839,1.71367136e-05
151.356125,1.71367125e-05
154.881662,1.71367113e-05
158.489319,1.713671e-05
162.18101,1.71367087e-05
165.958691,1.71367073e-05
169.824365,1.71367059e-05
173.780083,1.71367044e-05
177.827941,1.71367028e-05
181.970086,1.71367012e-05
186.208714,1.71366994e-05
190.546072,1.71366976e-05
194.98446,1.71366957e-05
199.526231,1.71366937e-05
204.173794,1.71366916e-05
208.929613,1.71366894e-05
213.796209,1.71366872e-05
218.776162,1.71366848e-05
223.872114,1.71366823e-05
229.086765,1.71366796e-05
234.422882,1.71366769e-05
239.883292,1.7136674e-05
245.470892,1.7136671e-05
251.188643,1.71366678e-05
257.039578,1.71366645e-05
263.026799,1.71366611e-05
269.15348,1.71366575e-05
275.42287,1.71366537e-05
281.838293,1.71366497e-05
288.40315,1.71366455e-05
295.120923,1.71366412e-05
301.995172,1.71366366e-05
309.029543,1.71366318e-05
316.227766,1.71366269e-05
323.593657,1.71366216e-05
331.131121,1.71366161e-05
338.844156,1.71366104e-05
346.73685,1.71366044e-05
354.813389,1.71365981e-05
363.078055,1.71365915e-05
371.535229,1.71365846e-05
380.189396,1.71365774e-05
389.045145,1.71365698e-05
398.107171,1.71365619e-05
407.380278,1.71365536e-05
416.869383,1.71365449e-05
426.579519,1.71365358e-05
436.515832,1.71365263e-05
446.683592,1.71365163e-05
457.08819,1.71365058e-05
467.735141,1.71364949e-05
478.630092,1.71364835e-05
489.778819,1.71364715e-05
501.187234,1.71364589e-05
512.861384,1.71364458e-05
524.80746,1.7136432e-05
537.031796,1.71364176e-05
549.540874,1.71364025e-05
562.341325,1.71363867e-05
575.439937,1.71363701e-05
588.843655,1.71363528e-05
602.559586,1.71363346e-05
616.595002,1.71363156e-05
630.957344,1.71362957e-05
645.654229,1.71362749e-05
660.693448,1.7136253e-05
676.082975,1.71362302e-05
691.830971,1.71362063e-05
707.945784,1.71361812e-05
724.43596,1.7136155e-05
741.310241,1.71361275e-05
758.577575,1.71360987e-05
776.247117,1.71360686e-05
794.328235,1.71360371e-05
812.830516,1.7136004e-05
831.763771,1.71359694e-05
851.138038,1.71359332e-05
870.96359,1.71358953e-05
891.250938,1.71358556e-05
912.010839,1.7135814e-05
933.254301,1.71357705e-05
954.992586,1.71357249e-05
977.237221,1.71356771e-05
1000.0,1.71356271e-05
1023.29299,1.71355748e-05
1047.12855,1.713552e-05
1071.51931,1.71354626e-05
1096.4782,1.71354025e-05
1122.01845,1.71353396e-05
1148.15362,1.71352737e-05
1174.89755,1.71352047e-05
1202.26443,1.71351324e-05
1230.26877,1.71350568e-05
1258.92541,1.71349775e-05
1288.24955,1.71348946e-05
1318.25674,1.71348077e-05
1348.96288,1.71347167e-05
1380.38426,1.71346215e-05
1412.53754,1.71345218e-05
1445.43977,1.71344173e-05
1479.10839,1.7134308e-05
1513.56125,1.71341935e-05
1548.81662,1.71340736e-05
1584.89319,1.71339481e-05
1621.8101,1.71338166e-05
1659.58691,1.7133679e-05
1698.24365,1.71335348e-05
1737.80083,1.71333839e-05
1778.27941,1.71332259e-05
1819.70086,1.71330604e-05
1862.08714,1.71328871e-05
1905.46072,1.71327057e-05
1949.8446,1.71325157e-05
1995.26231,1.71323168e-05
2041.73794,1.71321085e-05
2089.29613,1.71318903e-05
2137.96209,1.7131662e-05
2187.76162,1.71314228e-05
2238.72114,1.71311724e-05
2290.86765,1.71309102e-05
2344.22882,1.71306357e-05
2398.83292,1.71303482e-05
2454.70892,1.71300472e-05
2511.88643,1.7129732e-05
2570.39578,1.7129402e-05
2630.26799,1.71290565e-05
2691.5348,1.71286946e-05
2754.2287,1.71283158e-05
2818.38293,1.71279191e-05
2884.0315,1.71275037e-05
2951.20923,1.71270688e-05
3019.95172,1.71266134e-05
3090.29543,1.71261366e-05
3162.27766,1.71256373e-05
3235.93657,1.71251145e-05
3311.31121,1.71245672e-05
3388.44156,1.71239941e-05
3467.3685,1.7123394e-05
3548.13389,1.71227657e-05
3630.78055,1.71221078e-05
3715.35229,1.7121419e-05
3801.89396,1.71206978e-05
3890.45145,1.71199427e-05
3981.07171,1.71191521e-05
4073.80278,1.71183243e-05
4168.69383,1.71174576e-05
4265.79519,1.71165501e-05
4365.15832,1.71156e-05
4466.83592,1.71146052e-05
4570.8819,1.71135637e-05
4677.35141,1.71124733e-05
4786.30092,1.71113317e-05
4897.78819,1.71101364e-05
5011.87234,1.7108885e-05
5128.61384,1.71075748e-05
5248.0746,1.71062031e-05
5370.31796,1.71047671e-05
5495.40874,1.71032637e-05
5623.41325,1.71016897e-05
5754.39937,1.71000419e-05
5888.43655,1.70983168e-05
6025.59586,1.70965108e-05
6165.95002,1.70946202e-05
6309.57344,1.7092641e-05
6456.54229,1.7090569e-05
6606.93448,1.70884e-05
6760.82975,1.70861295e-05
6918.30971,1.70837527e-05
7079.45784,1.70812646e-05
7244.3596,1.70786602e-05
7413.10241,1.7075934e-05
7585.77575,1.70730803e-05
7762.47117,1.70700933e-05
7943.28235,1.70669668e-05
8128.30516,1.70636943e-05
8317.63771,1.70602692e-05
8511.38038,1.70566842e-05
8709.6359,1.70529321e-05
8912.50938,1.70490052e-05
9120.10839,1.70448953e-05
9332.54301,1.70405942e-05
9549.92586,1.7036093e-05
9772.37221,1.70313825e-05
10000.0,1.70264532e-05
10232.9299,1.7021295e-05
10471.2855,1.70158974e-05
10715.1931,1.70102497e-05
10964.782,1.70043402e-05
11220.1845,1.69981573e-05
11481.5362,1.69916884e-05
11748.9755,1.69849206e-05
12022.6443,1.69778403e-05
12302.6877,1.69704335e-05
12589.2541,1.69626854e-05
12882.4955,1.69545808e-05
13182.5674,1.69461035e-05
13489.6288,1.69372371e-05
13803.8426,1.6927964e-05
14125.3754,1.69182662e-05
14454.3977,1.69081248e-05
14791.0839,1.68975203e-05
15135.6125,1.68864322e-05
15488.1662,1.68748391e-05
15848.9319,1.68627191e-05
16218.101,1.6850049e-05
16595.8691,1.6836805e-05
16982.4365,1.68229622e-05
17378.0083,1.68084948e-05
17782.7941,1.67933759e-05
18197.0086,1.67775777e-05
18620.8714,1.67610713e-05
19054.6072,1.67438267e-05
19498.446,1.67258128e-05
19952.6231,1.67069975e-05
20417.3794,1.66873473e-05
20892.9613,1.66668279e-05
21379.6209,1.66454034e-05
21877.6162,1.6623037e-05
22387.2114,1.65996907e-05
22908.6765,1.65753249e-05
23442.2882,1.65498992e-05
23988.3292,1.65233718e-05
24547.0892,1.64956995e-05
25118.8643,1.64668382e-05
25703.9578,1.64367422e-05
26302.6799,1.64053648e-05
26915.348,1.63726581e-05
27542.287,1.6338573e-05
28183.8293,1.63030594e-05
28840.315,1.62660658e-05
29512.0923,1.622754e-05
30199.5172,1.61874286e-05
30902.9543,1.61456776e-05
31622.7766,1.61022319e-05
32359.3657,1.60570359e-05
33113.1121,1.60100334e-05
33884.4156,1.59611676e-05
34673.685,1.59103815e-05
35481.3389,1.58576181e-05
36307.8055,1.58028203e-05
37153.5229,1.57459313e-05
38018.9396,1.56868947e-05
38904.5145,1.56256549e-05
39810.7171,1.55621575e-05
40738.0278,1.54963491e-05
41686.9383,1.54281781e-05
42657.9519,1.5357595e-05
43651.5832,1.52845525e-05
44668.3592,1.52090061e-05
45708.819,1.51309149e-05
46773.5141,1.50502414e-05
47863.0092,1.49669524e-05
48977.8819,1.48810199e-05
50118.7234,1.47924208e-05
51286.1384,1.47011385e-05
52480.746,1.4607163e-05
53703.1796,1.45104916e-05
54954.0874,1.44111301e-05
56234.1325,1.4309093e-05
57543.9937,1.42044049e-05
58884.3655,1.40971009e-05
60255.9586,1.39872279e-05
61659.5002,1.38748451e-05
63095.7344,1.37600253e-05
64565.4229,1.36428559e-05
66069.3448,1.35234398e-05
67608.2975,1.34018964e-05
69183.0971,1.3278363e-05
70794.5784,1.31529953e-05
72443.596,1.30259691e-05
74131.0241,1.2897481e-05
75857.7575,1.27677495e-05
77624.7117,1.26370161e-05
79432.8235,1.25055465e-05
81283.0516,1.23736309e-05
83176.3771,1.22415857e-05
85113.8038,1.21097534e-05
87096.359,1.19785039e-05
89125.0938,1.18482346e-05
91201.0839,1.17193706e-05
93325.4301,1.15923651e-05
95499.2586,1.14676987e-05
97723.7221,1.13458793e-05
100000.0,1.12274408e-05
102329.299,1.1112942e-05
104712.855,1.10029645e-05
107151.931,1.08981109e-05
109647.82,1.07990014e-05
112201.845,1.07062706e-05
114815.362,1.06205636e-05
117489.755,1.0542531e-05
120226.443,1.04728241e-05
123026.877,1.04120889e-05
125892.541,1.03609603e-05
128824.955,1.03200555e-05
131825.674,1.02899674e-05
134896.288,1.02712584e-05
138038.426,1.02644537e-05
141253.754,1.0270036e-05
144543.977,1.02884402e-05
147910.839,1.03200491e-05
151356.125,1.03651908e-05
154881.662,1.0424136e-05
158489.319,1.04970982e-05
162181.01,1.05842341e-05
165958.691,1.06856457e-05
169824.365,1.08013836e-05
173780.083,1.09314514e-05
177827.941,1.1075811e-05
181970.086,1.12343883e-05
186208.714,1.14070798e-05
190546.072,1.15937596e-05
194984.46,1.17942856e-05
199526.231,1.20085068e-05
204173.794,1.22362692e-05
208929.613,1.24774224e-05
213796.209,1.27318249e-05
218776.162,1.29993494e-05
223872.114,1.32798877e-05
229086.765,1.35733545e-05
234422.882,1.38796912e-05
239883.292,1.41988692e-05
245470.892,1.45308927e-05
251188.643,1.48758009e-05
257039.578,1.52336703e-05
263026.799,1.56046165e-05
269153.48,1.59887957e-05
275422.87,1.63864064e-05
281838.293,1.67976903e-05
288403.15,1.72229341e-05
295120.923,1.766247e-05
301995.172,1.81166777e-05
309029.543,1.85859852e-05
316227.766,1.90708702e-05
323593.657,1.95718614e-05
331131.121,2.00895404e-05
338844.156,2.06245434e-05
346736.85,2.11775626e-05
354813.389,2.17493489e-05
363078.055,2.23407139e-05
371535.229,2.29525325e-05
380189.396,2.35857459e-05
389045.145,2.42413647e-05
398107.171,2.49204722e-05
407380.278,2.56242284e-05
416869.383,2.63538741e-05
426579.519,2.71107354e-05
436515.832,2.78962289e-05
446683.592,2.87118668e-05
457088.19,2.95592628e-05
467735.141,3.0440139e-05
478630.092,3.1356332e-05
489778.819,3.23098011e-05
501187.234,3.33026362e-05
512861.384,3.43370663e-05
524807.46,3.54154692e-05
537031.796,3.65403817e-05
549540.874,3.77145101e-05
562341.325,3.89407428e-05
575439.937,4.02221621e-05
588843.655,4.15620585e-05
602559.586,4.2963945e-05
616595.002,4.44315727e-05
630957.344,4.59689481e-05
645654.229,4.75803508e-05
660693.448,4.92703531e-05
676082.975,5.10438408e-05
691830.971,5.29060352e-05
707945.784,5.48625178e-05
724435.96,5.6919255e-05
741310.241,5.90826263e-05
758577.575,6.13594531e-05
776247.117,6.37570307e-05
794328.235,6.62831619e-05
812830.516,6.89461932e-05
831763.771,7.17550532e-05
851138.038,7.47192946e-05
870963.59,7.78491384e-05
891250.938,8.11555211e-05
912010.839,8.46501463e-05
933254.301,8.83455389e-05
954992.586,9.22551037e-05
977237.221,9.63931878e-05
1000000.0,0.000100775148
1023292.99,0.000105417423
1047128.55,0.000110337609
1071519.31,0.000115554543
1096478.2,0.000121088394
1122018.45,0.000126960753
1148153.62,0.000133194738
1174897.55,0.000139815101
1202264.43,0.000146848346
1230268.77,0.000154322854
1258925.41,0.000162269018
1288249.55,0.000170719387
1318256.74,0.000179708817
1348962.88,0.000189274641
1380384.26,0.000199456847
1412537.54,0.000210298264
1445439.77,0.000221844772
1479108.39,0.000234145517
1513561.25,0.00024725315
1548816.62,0.000261224079
1584893.19,0.000276118739
1621810.1,0.000292001884
1659586.91,0.0003089429
1698243.65,0.000327016142
1737800.83,0.000346301289
1778279.41,0.00036688374
1819700.86,0.00038885502
1862087.14,0.000412313233
1905460.72,0.000437363536
1949844.6,0.00046411866
1995262.31,0.000492699458
2041737.94,0.000523235499
2089296.13,0.000555865711
2137962.09,0.000590739061
2187761.62,0.000628015297
2238721.14,0.00066786574
2290867.65,0.000710474131
2344228.82,0.000756037552
2398832.92,0.000804767411
2454708.92,0.000856890496
2511886.43,0.00091265012
2570395.78,0.000972307343
2630267.99,0.00103614229
2691534.8,0.00110445558
2754228.7,0.00117756982
2818382.93,0.00125583131
2884031.5,0.00133961176
2951209.23,0.00142931019
3019951.72,0.00152535503
3090295.43,0.00162820632
3162277.66,0.00173835805
3235936.57,0.00185634078
3311311.21,0.00198272437
3388441.56,0.002118121
3467368.5,0.00226318835
3548133.89,0.00241863313
3630780.55,0.00258521475
3715352.29,0.00276374941
3801893.96,0.00295511448
3890451.45,0.00316025317
3981071.71,0.00338017962
4073802.78,0.00361598442
4168693.83,0.00386884054
4265795.19,0.00414000972
4365158.32,0.00443084943
4466835.92,0.00474282033
4570881.9,0.00507749441
4677351.41,0.00543656373
4786300.92,0.00582184989
4897788.19,0.0062353143
5011872.34,0.00667906922
5128613.84,0.00715538983
5248074.6,0.00766672716
5370317.96,0.00821572212
5495408.74,0.00880522077
5623413.25,0.0094382907
5754399.37,0.0101182388
5888436.55,0.0108486306
6025595.86,0.0116333111
6165950.02,0.0124764269
6309573.44,0.013382451
6456542.29,0.0143562089
6606934.48,0.0154029067
6760829.75,0.0165281618
6918309.71,0.0177380359
7079457.84,0.0190390702
7244359.6,0.0204383236
7413102.41,0.0219434131
7585775.75,0.0235625578
7762471.17,0.0253046253
7943282.35,0.0271791809
8128305.16,0.0291965407
8317637.71,0.0313678259
8511380.38,0.033705022
8709635.9,0.0362210382
8912509.38,0.0389297708
9120108.39,0.0418461665
9332543.01,0.0449862872
9549925.86,0.0483673738
9772372.21,0.0520079084
10000000.0,0.0559276722
10232929.9,0.0601477971
10471285.5,0.0646908084
10715193.1,0.0695806537
10964782.0,0.0748427146
11220184.5,0.0805037948
11481536.2,0.0865920778
11748975.5,0.0931370478
12022644.3,0.100169363
12302687.7,0.10772067
12589254.1,0.115823353
12882495.5,0.124510201
13182567.4,0.133813976
13489628.8,0.143766885
13803842.6,0.154399926
14125375.4,0.165742116
14454397.7,0.177819582
14791083.9,0.190654539
15135612.5,0.204264147
15488166.2,0.218659292
15848931.9,0.233843318
16218101.0,0.249810782
16595869.1,0.266546306
16982436.5,0.284023616
17378008.3,0.302204879
17782794.1,0.321040442
18197008.6,0.340469083
18620871.4,0.360418838
19054607.2,0.380808447
19498446.0,0.401549406
19952623.1,0.422548555
20417379.4,0.443711055
20892961.3,0.464943584
21379620.9,0.486157523
21877616.2,0.507271919
22387211.4,0.528216018
22908676.5,0.548931204
23442288.2,0.569372262
23988329.2,0.589507924
24547089.2,0.609320739
25118864.3,0.628806371
25703957.8,0.647972423
26302679.9,0.666836961
26915348.0,0.685426849
27542287.0,0.703776037
28183829.3,0.721923903
28840315.0,0.739913713
29512092.3,0.757791263
30199517.2,0.775603716
30902954.3,0.793398652
31622776.6,0.81122331
32359365.7,0.829124021
33113112.1,0.847145803
33884415.6,0.865332085
34673685.0,0.883724558
35481338.9,0.902363107
36307805.5,0.921285818
37153522.9,0.940529043
38018939.6,0.960127492
38904514.5,0.980114367
39810717.1,1.0005215
40738027.8,1.02137953
41686938.3,1.04271801
42657951.9,1.06456562
43651583.2,1.08695033
44668359.2,1.10989948
45708819.0,1.13344003
46773514.1,1.15759861
47863009.2,1.18240173
48977881.9,1.20787584
50118723.4,1.23404753
51286138.4,1.26094358
52480746.0,1.28859112
53703179.6,1.31701773
54954087.4,1.34625151
56234132.5,1.37632124
57543993.7,1.40725646
58884365.5,1.43908754
60255958.6,1.47184582
61659500.2,1.50556369
63095734.4,1.5402747
64565422.9,1.57601363
66069344.8,1.61281664
67608297.5,1.65072133
69183097.1,1.68976687
70794578.4,1.72999412
72443596.0,1.77144569
74131024.1,1.81416613
75857757.5,1.85820199
77624711.7,1.90360199
79432823.5,1.95041713
81283051.6,1.99870081
83176377.1,2.04850904
85113803.8,2.0999005
87096359.0,2.15293677
89125093.8,2.20768248
91201083.9,2.26420546
93325430.1,2.32257695
95499258.6,2.38287177
97723722.1,2.44516856
100000000.0,2.50954994
